Sold to Party Number,Sold to Country/State,Bill to Party Acct,Bill to party Country/State,Ship to Party Number,Ship to Country/State,End Customer Number,Mock MPN,Mock Plant,Mock Manufacturer,Plant Materal - Supplier Lead Time (Key),ATP Date,Cust Required date,Order Qty,Remaining qty,Ext Resale,Unit Price
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 5650,MPN13,Plant 2,MFR2,777,43018,43018,12,12,458.64,38.22
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 52108,MPN20,Plant 1,MFR2,280,45233,44763,2500,2500,45375,18.15
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 52108,MPN22,Plant 1,MFR2,777,44965,44917,189,189,51517.62,272.58
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 7730,MPN23,Plant 1,MFR2,777,45089,44896,110,110,1665.4,15.14
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 7730,MPN23,Plant 1,MFR2,777,45124,44774,1000,854,12929.56,15.14
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 7730,MPN23,Plant 1,MFR2,777,45169,44774,1000,146,2210.44,15.14
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 18926,MPN25,Plant 1,MFR2,777,45205,44497,1820,1820,14833,8.15
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16309,MPN36,Plant 1,MFR2,777,45142,44727,7,7,1575,225
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN45,Plant 1,MFR2,777,45219,44838,4000,1900,7581,3.99
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN45,Plant 1,MFR2,777,45222,44854,4000,4000,15960,3.99
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN46,Plant 1,MFR2,777,45222,44838,4000,2800,2744,0.98
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN47,Plant 1,MFR2,434,45226,44854,4000,2900,43152,14.88
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN47,Plant 1,MFR2,434,45238,44861,550,550,8184,14.88
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN14,Plant 1,MFR3,76,44952,44952,1000,1000,4180,4.18
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 12763,MPN31,Plant 1,MFR3,76,42989,42989,1200,1200,717.89,0.598241667
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN16,Plant 1,MFR4,364,45315,44883,2000,55,118.25,2.15
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 18926,MPN37,Plant 1,MFR4,364,45035,44629,500,500,7500,15
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 39253,MPN37,Plant 1,MFR4,364,45315,44799,750,750,5625,7.5
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 39253,MPN37,Plant 1,MFR4,364,45315,44741,1350,1350,10125,7.5
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN41,Plant 1,MFR4,777,45069,45069,4000,4000,29960,7.49
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN43,Plant 1,MFR4,364,45315,44824,1050,1050,5250,5
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN43,Plant 1,MFR4,364,45315,44844,1050,1050,5250,5
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN44,Plant 1,MFR4,777,45728,44799,2000,2000,4300,2.15
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN44,Plant 1,MFR4,777,45728,44837,2000,2000,4300,2.15
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN17,Plant 1,MFR5,91,44978,44974,1500,1500,13275,8.85
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 44086,MPN53,Plant 1,MFR5,182,45016,45016,152,152,686.45,4.516118421
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN18,Plant 1,MFR6,777,45728,44967,2500,2500,1450,0.58
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN18,Plant 1,MFR6,777,45728,45079,2500,2500,1450,0.58
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 52108,MPN50,Plant 1,MFR6,777,45728,44981,2000,2000,4917.64,2.45882
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 21674,MPN21,Plant 1,MFR7,777,45315,44767,260,260,808.6,3.11
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,,45292,15600,5200,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,45292,45292,15600,10400,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,45320,45320,7800,7800,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,,44928,104000,49400,0,0
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 18926,MPN24,Plant 1,MFR8,105,45056,44847,8000,8000,624,0.078
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 18926,MPN24,Plant 1,MFR8,105,45056,44847,4000,4000,312,0.078
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 18926,MPN24,Plant 1,MFR8,105,45056,44848,4000,4000,304,0.076
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN26,Plant 1,MFR9,777,44935,44627,6000,6000,1122,0.187
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN26,Plant 1,MFR9,777,44935,44634,12000,12000,2244,0.187
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN26,Plant 1,MFR9,777,44939,44939,6000,6000,1122,0.187
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN26,Plant 1,MFR9,777,44946,44946,3000,3000,561,0.187
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 5217,MPN29,Plant 1,MFR9,777,45152,44734,60,60,3371.18,56.18633333
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN27,Plant 1,MFR10,372,45093,44835,4000,4000,1873.64,0.46841
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN27,Plant 1,MFR10,372,45093,44896,4000,4000,1873.64,0.46841
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN52,Plant 1,MFR10,372,45321,44799,5000,5000,2100,0.42
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 687,MPN54,Plant 1,MFR10,294,44945,44672,25000,5000,7500,1.5
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 687,MPN28,Plant 1,MFR11,180,44959,44959,1000,1000,7753,7.753
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 18926,MPN30,Plant 1,MFR12,372,44935,44673,5000,5000,0.5,0.0001
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 7730,MPN32,Plant 1,MFR13,777,44994,44994,9000,9000,206.37,0.02293
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 7730,MPN32,Plant 1,MFR13,777,45071,45071,6000,6000,137.58,0.02293
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 687,MPN34,Plant 1,MFR13,372,45299,44817,9000,9000,119.7,0.0133
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 31576,MPN33,Plant 1,MFR14,140,45007,44795,2000,2000,500.5,0.25025
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16309,MPN35,Plant 1,MFR15,372,45323,44530,3000,3000,210,0.07
Customer 13860,Texas,Customer 13860,US/TX,Customer 31812,Texas,Customer 7730,MPN55,Plant 1,MFR15,372,44957,44804,3000,3000,505.5,0.1685
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 1156,MPN38,Plant 1,MFR16,777,44986,44937,185,105,2924.25,27.85
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 1156,MPN38,Plant 1,MFR16,777,45124,44937,185,80,2228,27.85
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 1156,MPN38,Plant 1,MFR16,777,44986,44769,160,115,3202.75,27.85
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 1156,MPN38,Plant 1,MFR16,777,44986,44769,160,160,4456,27.85
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 1156,MPN38,Plant 1,MFR16,777,44986,44825,160,160,4456,27.85
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 1156,MPN38,Plant 1,MFR16,777,44986,44859,160,160,4456,27.85
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 1156,MPN38,Plant 1,MFR16,777,44986,44866,160,160,4456,27.85
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 1156,MPN38,Plant 1,MFR16,777,44986,44880,160,160,4456,27.85
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 1156,MPN38,Plant 1,MFR16,777,44986,44901,160,160,4456,27.85
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 1156,MPN38,Plant 1,MFR16,777,45124,44957,25,25,696.25,27.85
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 7730,MPN39,Plant 1,MFR16,777,45036,44803,250,200,12480,62.4
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 7730,MPN39,Plant 1,MFR16,777,45036,44810,50,50,3120,62.4
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 7730,MPN39,Plant 1,MFR16,777,45036,44817,50,50,3120,62.4
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 7730,MPN39,Plant 1,MFR16,777,45036,44824,75,75,4680,62.4
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 7730,MPN39,Plant 1,MFR16,777,45036,44831,75,75,4680,62.4
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 44086,MPN48,Plant 1,MFR16,777,44939,44939,25,25,2469,98.76
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 44086,MPN48,Plant 1,MFR16,777,44946,44946,1,1,88.2,88.2
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 44086,MPN48,Plant 1,MFR16,777,45023,45023,9,9,793.8,88.2
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 44086,MPN48,Plant 1,MFR16,777,45120,45093,35,35,3087,88.2
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 44086,MPN48,Plant 1,MFR16,777,45124,44946,147,147,12965.4,88.2
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 44086,MPN49,Plant 1,MFR16,777,44988,44988,221,30,13020,434
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 44086,MPN49,Plant 1,MFR16,777,45006,44988,221,191,82894,434
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 44086,MPN49,Plant 1,MFR16,777,45232,45149,28,28,12152,434
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN40,Plant 1,MFR17,56,44935,44928,234,103,8634.6,83.83106796
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN40,Plant 1,MFR17,56,44942,44942,818,818,30184.2,36.9
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN40,Plant 1,MFR17,56,44952,44952,313,313,11549.7,36.9
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN40,Plant 1,MFR17,56,44952,44952,225,225,8302.5,36.9
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN40,Plant 1,MFR17,56,44952,44952,1688,706,26051.4,36.9
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN40,Plant 1,MFR17,56,45007,44952,1688,982,36235.8,36.9
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN40,Plant 1,MFR17,56,45019,45019,276,276,10184.4,36.9
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN40,Plant 1,MFR17,56,45026,45026,392,392,14464.8,36.9
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 16338,MPN40,Plant 1,MFR17,56,45033,45033,372,372,13726.8,36.9
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 18926,MPN42,Plant 1,MFR18,777,44935,44904,207,207,1055.7,5.1
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 52108,MPN51,Plant 1,MFR19,168,45119,44981,1000,1000,1296.8,1.2968
Customer 13860,Texas,Customer 13860,US/TX,Customer 13860,Texas,Customer 52108,MPN51,Plant 1,MFR19,168,45119,45086,1000,1000,1296.8,1.2968
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,44939,44928,104000,54600,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,,44956,83200,36400,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,44956,44956,83200,46800,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,,44984,98800,33800,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,44984,44984,98800,65000,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,,45019,101400,26000,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,45019,45019,101400,75400,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,,45047,65000,23400,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,45047,45047,65000,41600,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,,45257,10400,5200,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,45257,45257,10400,5200,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,45075,45075,26000,26000,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,45110,45110,13000,13000,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN56,Plant 1,MFR7,777,44939,44893,20800,20800,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,44938,44935,18200,18200,5642,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45036,45036,13000,13000,4030,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45008,45008,18200,18200,5642,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,44994,44994,15600,15600,4836,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,44942,44942,18200,18200,5642,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45022,45022,13000,13000,4030,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,44938,44928,20800,20800,6448,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,44938,44928,20800,20800,6448,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45092,45092,5200,5200,1612,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45190,45190,7800,7800,2418,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45050,45050,13000,13000,4030,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45134,45134,7800,7800,2418,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45092,45092,10400,10400,3224,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45176,45176,5200,5200,1612,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45064,45064,10400,10400,3224,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45148,45148,5200,5200,1612,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45078,45078,15600,15600,4836,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45162,45162,7800,7800,2418,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45120,45120,5200,5200,1612,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45106,45106,5200,5200,1612,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45204,45204,5200,5200,1612,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45218,45218,5200,5200,1612,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45162,45162,13000,13000,4030,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45176,45176,13000,13000,4030,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45176,45176,10400,10400,3224,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45190,45190,15600,15600,4836,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45253,45253,2600,2600,806,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45204,45204,7800,7800,2418,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45218,45218,7800,7800,2418,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45232,45232,5200,5200,1612,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45302,45302,5200,5200,1612,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45281,45281,5200,5200,1612,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45253,45253,2600,2600,806,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN56,Plant 1,MFR7,777,45253,45253,5200,5200,1612,0.31
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN57,Plant 1,MFR15,777,45166,45166,345000,345000,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN57,Plant 1,MFR15,777,45201,45201,273000,273000,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN57,Plant 1,MFR15,777,45138,45138,927000,927000,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN57,Plant 1,MFR15,777,45275,45075,87000,87000,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN57,Plant 1,MFR15,777,45110,45110,1026000,1026000,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN57,Plant 1,MFR15,777,45367,45075,477000,477000,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 8316,Beijing,Customer,MPN57,Plant 1,MFR15,777,45195,45110,93000,93000,0,0
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN58,Plant 3,MFR10,372,44937,44645,60000,60000,51300,0.855
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN58,Plant 3,MFR10,372,44937,44638,65000,65000,55575,0.855
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN58,Plant 3,MFR10,372,44937,44659,65000,65000,55575,0.855
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN58,Plant 3,MFR10,372,44937,44652,60000,60000,51300,0.855
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN58,Plant 3,MFR10,372,44938,44666,65000,40000,34200,0.855
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN58,Plant 3,MFR10,372,44953,44666,65000,25000,21375,0.855
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN58,Plant 3,MFR10,372,44958,44680,5000,5000,4275,0.855
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN58,Plant 3,MFR10,372,44958,44687,55000,55000,47025,0.855
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN58,Plant 3,MFR10,372,44958,44729,75000,10000,8550,0.855
Customer 8316,Beijing,Customer 6890,IN/IC,Customer 10968,Hong Kong Island,Customer 3754,MPN58,Plant 3,MFR10,372,44963,44729,75000,20000,17100,0.855
